BT9 [  1, -10.0157][        1,         -9.4938][               1,              -6.7084]
BYRDSPHR [  1, -10.1290][        1,         -5.2841][               1,              -6.3761]
BT10 [  1, -10.8038][        1,         -9.9697][               1,             -10.8524]
HS39 [  1,  -9.9900][        1,         -9.4857][               1,              -9.6947]
MSS1 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
MARATOS [  1, -11.5797][        1,        -11.5045][               1,              -9.8840]
ORTHREGB [  1,  -6.2057][        1,         -4.4227][               1,              -5.9462]
HS6 [  1, -11.0288][        1,         -4.7638][               1,              -6.1301]
BT8 [  1, -10.0306][        1,         -9.4174][               1,              -6.8732]
MSS2 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT1 [  1, -10.3400][        1,        -10.7087][               1,             -10.6290]
GENHS28 [  1,  -9.4499][        1,         -2.8143][               1,              -5.9590]
BT5 [  1, -10.0606][        1,         -9.5482][               1,              -5.5583]
HS61 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT4 [  1,  -7.7903][        1,         -9.9907][               1,              -6.2765]
BT2 [  1,  -9.2976][        1,         -4.6623][               1,              -7.4133]
S316-322 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
FLT [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS51 [  1,  -8.9516][        1,         -1.7677][               1,              -6.5256]
BT12 [  1,  -9.6498][        1,         -3.2169][               1,              -6.2404]
HS52 [  1,  -7.6611][        1,          1.8264][               1,              -5.2265]
HS48 [  1,  -9.4426][        1,         -3.3845][               1,              -6.4335]
S308NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS42 [  1,  -8.5173][        1,         -9.7561][               1,              -6.1266]
HS27 [  1, -10.2141][        1,         -9.2549][               1,              -6.6840]
DIXCHLNG [  1,  12.1216][        1,          7.5989][               0,             100.0000]
COATINGNE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS28 [  1, -10.3666][        0,        100.0000][               1,              -9.7694]
DEVGLA2NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT3 [  1, -10.2468][        1,          2.5522][               1,              -6.3627]
HS79 [  1,  -9.7149][        1,         -4.0759][               1,              -6.1683]
HS7 [  1, -10.0649][        1,        -10.1075][               1,              -6.6998]
BT11 [  1,  -9.1756][        1,         -3.2164][               1,              -5.9809]
BT6 [  1,  -9.9177][        1,         -3.1126][               1,              -5.4179]
HS40 [  1,  -9.8637][        1,         -4.9334][               1,              -9.3334]
HS50 [  1, -10.3840][        1,         -1.7985][               1,              -3.6229]
HS26 [  1,  -8.0771][        1,         -4.4137][               1,              -9.4585]
HS9 [  1,  -8.8959][        0,        100.0000][               1,             -10.2869]
HS100LNP [  1,  -5.1119][        1,         -3.8867][               1,              -4.0870]
HS77 [  1,  -8.1709][        1,         -3.4665][               1,              -5.5305]
MWRIGHT [  1,  -4.4707][        1,          3.1210][               1,              -4.5026]
HS46 [  1,  -8.1238][        1,         -4.6982][               1,              -9.3183]
HS49 [  1,  -6.5336][        1,         -1.0532][               1,              -5.9532]
HS78 [  1,  -9.6127][        1,         -5.1167][               1,              -5.0732]
HS56 [  1,  -6.0922][        1,         -2.1934][               1,              -4.4654]
HS111LNP [  1,  -6.1099][        1,         -1.4764][               1,              -6.2564]
HS47 [  1,  -8.6292][        1,         -3.8253][               1,              -4.0029]
